"Rank","WSID","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"230","","Corey Grant","JAC","RB72","9","179","241","212.3","28.9","307.0","+77.0"
"231","","Carolina (CAR)","","DST14","4","183","246","203.8","25.1","186.0","-45.0"
"232","","Terrelle Pryor","NYJ","WR89","11","175","234","202.0","24.3","276.0","+44.0"
"233","","Luke Willson","DET","TE27","6","172","237","210.0","23.6","230.0","-3.0"
"234","","Jake Elliott","PHI","K5","9","185","241","212.8","26.3","173.0","-61.0"
"235","","Matt Prater","DET","K6","6","180","245","207.3","24.0","228.0","-7.0"
"236","","Chicago (CHI)","","DST15","5","184","242","211.3","23.7","238.0","+2.0"
"237","","Dan Bailey","DAL","K7","8","181","252","209.3","26.1","205.0","-32.0"
"238","","Atlanta (ATL)","","DST16","8","181","243","220.5","24.4","233.0","-5.0"
"239","","Wil Lutz","NO","K8","6","190","237","209.8","19.4","172.0","-67.0"
"240","","Chase Edmonds","ARI","RB73","9","182","234","214.5","20.7","263.0","+23.0"
"241","","Mike Davis","SEA","RB74","7","184","291","237.5","53.5","",""
"242","","Adam Shaheen","CHI","TE28","5","185","267","226.0","41.0","344.0","+102.0"
"243","","Sam Bradford","ARI","QB28","9","187","268","234.7","34.6","221.0","-22.0"
"244","","Corey Coleman","BUF","WR90","11","194","259","216.6","24.9","278.0","+34.0"
"245","","Eric Decker","NE","WR91","11","189","216","202.5","13.5","220.0","-25.0"
"246","","Jonathan Williams","NO","RB75","6","192","227","209.5","17.5","354.0","+108.0"
"247","","DeAndre Washington","OAK","RB76","7","193","274","225.7","34.9","333.0","+86.0"
"248","","Elijah McGuire","NYJ","RB77","11","194","221","207.5","13.5","304.0","+56.0"
"249","","Mason Crosby","GB","K9","7","197","251","212.5","22.3","242.0","-7.0"
"250","","Chris Boswell","PIT","K10","7","195","248","224.5","19.5","201.0","-49.0"
"251","","James Conner","PIT","RB78","7","195","262","228.5","33.5","219.0","-32.0"
"252","","Arizona (ARI)","","DST17","9","197","253","218.7","24.6","229.0","-23.0"
"253","","Rod Smith","DAL","RB79","8","197","253","231.7","24.7","280.0","+27.0"
"254","","Harrison Butker","KC","K11","12","198","250","226.7","21.6","175.0","-79.0"
